datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,year,month,date,hour,day,flag
01-01-11 0:00,1,0,0,1,9.84,14.395,81,0,3,13,16,2011,1,1,0,Saturday,1
01-01-11 1:00,1,0,0,1,9.02,13.635,80,0,8,32,40,2011,1,1,1,Saturday,1
01-01-11 2:00,1,0,0,1,9.02,13.635,80,0,5,27,32,2011,1,1,2,Saturday,1
01-01-11 3:00,1,0,0,1,9.84,14.395,75,0,3,10,13,2011,1,1,3,Saturday,1
01-01-11 4:00,1,0,0,1,9.84,14.395,75,0,0,1,1,2011,1,1,4,Saturday,1
01-01-11 5:00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,2011,1,1,5,Saturday,1
01-01-11 6:00,1,0,0,1,9.02,13.635,80,0,2,0,2,2011,1,1,6,Saturday,1
01-01-11 7:00,1,0,0,1,8.2,12.88,86,0,1,2,3,2011,1,1,7,Saturday,1
01-01-11 8:00,1,0,0,1,9.84,14.395,75,0,1,7,8,2011,1,1,8,Saturday,1
01-01-11 9:00,1,0,0,1,13.12,17.425,76,0,8,6,14,2011,1,1,9,Saturday,1
01-01-11 10:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,2011,1,1,10,Saturday,1
01-01-11 11:00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,2011,1,1,11,Saturday,1
01-01-11 12:00,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,2011,1,1,12,Saturday,1
01-01-11 13:00,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,2011,1,1,13,Saturday,1
01-01-11 14:00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,2011,1,1,14,Saturday,1
01-01-11 15:00,1,0,0,2,18.04,21.97,77,19.9995,40,70,110,2011,1,1,15,Saturday,1
01-01-11 16:00,1,0,0,2,17.22,21.21,82,19.9995,41,52,93,2011,1,1,16,Saturday,1
01-01-11 17:00,1,0,0,2,18.04,21.97,82,19.0012,15,52,67,2011,1,1,17,Saturday,1
01-01-11 18:00,1,0,0,3,17.22,21.21,88,16.9979,9,26,35,2011,1,1,18,Saturday,1
01-01-11 19:00,1,0,0,3,17.22,21.21,88,16.9979,6,31,37,2011,1,1,19,Saturday,1
01-01-11 20:00,1,0,0,2,16.4,20.455,87,16.9979,11,25,36,2011,1,1,20,Saturday,1
01-01-11 21:00,1,0,0,2,16.4,20.455,87,12.998,3,31,34,2011,1,1,21,Saturday,1
01-01-11 22:00,1,0,0,2,16.4,20.455,94,15.0013,11,17,28,2011,1,1,22,Saturday,1
01-01-11 23:00,1,0,0,2,18.86,22.725,88,19.9995,15,24,39,2011,1,1,23,Saturday,-23
01-02-11 0:00,1,0,0,2,18.86,22.725,88,19.9995,4,13,17,2011,1,2,0,Sunday,1
01-02-11 1:00,1,0,0,2,18.04,21.97,94,16.9979,1,16,17,2011,1,2,1,Sunday,1
01-02-11 2:00,1,0,0,2,17.22,21.21,100,19.0012,1,8,9,2011,1,2,2,Sunday,1
01-02-11 3:00,1,0,0,2,18.86,22.725,94,12.998,2,4,6,2011,1,2,3,Sunday,1
01-02-11 4:00,1,0,0,2,18.86,22.725,94,12.998,2,1,3,2011,1,2,4,Sunday,1
01-02-11 5:00,1,0,0,2,18.04,21.9675,85.5,16.49875,,,1,2011,1,2,5,Sunday,1
01-02-11 6:00,1,0,0,3,17.22,21.21,77,19.9995,0,2,2,2011,1,2,6,Sunday,1
01-02-11 7:00,1,0,0,2,16.4,20.455,76,12.998,0,1,1,2011,1,2,7,Sunday,1
01-02-11 8:00,1,0,0,3,16.4,20.455,71,15.0013,0,8,8,2011,1,2,8,Sunday,1
01-02-11 9:00,1,0,0,2,15.58,19.695,76,15.0013,1,19,20,2011,1,2,9,Sunday,1
01-02-11 10:00,1,0,0,2,14.76,17.425,81,15.0013,7,46,53,2011,1,2,10,Sunday,1
01-02-11 11:00,1,0,0,2,14.76,16.665,71,16.9979,16,54,70,2011,1,2,11,Sunday,1
01-02-11 12:00,1,0,0,2,14.76,16.665,66,19.9995,20,73,93,2011,1,2,12,Sunday,1
01-02-11 13:00,1,0,0,2,14.76,17.425,66,8.9981,11,64,75,2011,1,2,13,Sunday,1
01-02-11 14:00,1,0,0,3,14.76,17.425,76,12.998,4,55,59,2011,1,2,14,Sunday,1
01-02-11 15:00,1,0,0,3,13.94,16.665,81,11.0014,19,55,74,2011,1,2,15,Sunday,1
01-02-11 16:00,1,0,0,3,13.94,16.665,71,11.0014,9,67,76,2011,1,2,16,Sunday,1
01-02-11 17:00,1,0,0,1,13.94,16.665,57,12.998,7,58,65,2011,1,2,17,Sunday,1
01-02-11 18:00,1,0,0,2,14.76,16.665,46,22.0028,10,43,53,2011,1,2,18,Sunday,1
01-02-11 19:00,1,0,0,1,13.12,14.395,42,30.0026,1,29,30,2011,1,2,19,Sunday,1
01-02-11 20:00,1,0,0,1,12.3,13.635,39,23.9994,5,17,22,2011,1,2,20,Sunday,1
01-02-11 21:00,1,0,0,1,10.66,11.365,44,22.0028,11,20,31,2011,1,2,21,Sunday,1
01-02-11 22:00,1,0,0,1,9.84,10.605,44,19.9995,0,9,9,2011,1,2,22,Sunday,1
01-02-11 23:00,1,0,0,1,9.02,11.365,47,11.0014,0,8,8,2011,1,2,23,Sunday,-23
01-03-11 0:00,1,0,1,1,9.02,9.85,44,23.9994,0,5,5,2011,1,3,0,Monday,1
01-03-11 1:00,1,0,1,1,8.2,8.335,44,27.9993,0,2,2,2011,1,3,1,Monday,1
01-03-11 2:00,1,0,1,1,7.38,7.57,45.5,27.001,,,2,2011,1,3,2,Monday,1
01-03-11 3:00,1,0,1,1,7.38,7.57,45.5,27.001,,,2,2011,1,3,3,Monday,1
01-03-11 4:00,1,0,1,1,6.56,6.82,47,26.0027,0,1,1,2011,1,3,4,Monday,1
01-03-11 5:00,1,0,1,1,6.56,6.82,47,19.0012,0,3,3,2011,1,3,5,Monday,1
01-03-11 6:00,1,0,1,1,5.74,5.305,50,26.0027,0,30,30,2011,1,3,6,Monday,1
01-03-11 7:00,1,0,1,1,5.74,6.82,50,12.998,1,63,64,2011,1,3,7,Monday,1
01-03-11 8:00,1,0,1,1,5.74,6.06,50,19.0012,1,153,154,2011,1,3,8,Monday,1
01-03-11 9:00,1,0,1,1,6.56,6.82,43,26.0027,7,81,88,2011,1,3,9,Monday,1
01-03-11 10:00,1,0,1,1,7.38,8.335,43,16.9979,11,33,44,2011,1,3,10,Monday,1
01-03-11 11:00,1,0,1,1,8.2,9.09,40,22.0028,10,41,51,2011,1,3,11,Monday,1
01-03-11 12:00,1,0,1,1,9.02,10.605,35,19.9995,13,48,61,2011,1,3,12,Monday,1
01-03-11 13:00,1,0,1,1,9.84,10.605,35,19.0012,8,53,61,2011,1,3,13,Monday,1
01-03-11 14:00,1,0,1,1,10.66,12.12,30,19.0012,11,66,77,2011,1,3,14,Monday,1
01-03-11 15:00,1,0,1,1,10.66,12.12,30,16.9979,14,58,72,2011,1,3,15,Monday,1
01-03-11 16:00,1,0,1,1,10.66,12.12,30,16.9979,9,67,76,2011,1,3,16,Monday,1
01-03-11 17:00,1,0,1,1,9.84,11.365,30,15.0013,11,146,157,2011,1,3,17,Monday,1
01-03-11 18:00,1,0,1,1,9.84,12.88,32,7.0015,9,148,157,2011,1,3,18,Monday,1
01-03-11 19:00,1,0,1,1,8.2,12.88,47,0,8,102,110,2011,1,3,19,Monday,1
01-03-11 20:00,1,0,1,1,8.2,11.365,47,7.0015,3,49,52,2011,1,3,20,Monday,1
01-03-11 21:00,1,0,1,1,7.38,9.85,64,8.9981,3,49,52,2011,1,3,21,Monday,1
01-03-11 22:00,1,0,1,1,5.74,7.575,69,8.9981,0,20,20,2011,1,3,22,Monday,1
01-03-11 23:00,1,0,1,1,7.38,10.605,55,7.0015,1,11,12,2011,1,3,23,Monday,-23
01-04-11 0:00,1,0,1,1,6.56,9.09,55,7.0015,0,5,5,2011,1,4,0,Tuesday,1
01-04-11 1:00,1,0,1,1,6.56,9.09,59,7.0015,0,2,2,2011,1,4,1,Tuesday,1
01-04-11 2:00,1,0,1,1,5.74,7.575,63,8.9981,0,1,1,2011,1,4,2,Tuesday,1
01-04-11 3:00,1,0,1,1,5.74,8.3325,63,7.50065,,,6,2011,1,4,3,Tuesday,1
