"","datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","hour","day","ceiling(predict_test)"
"1","20-01-11 0:00","1","0","1",1,10.66,11.365,56,26.0027,0,5,49
"2","20-01-11 1:00","1","0","1",1,10.66,13.635,56,0,1,5,56
"3","20-01-11 2:00","1","0","1",1,10.66,13.635,56,0,2,5,58
"4","20-01-11 3:00","1","0","1",1,10.66,12.88,56,11.0014,3,5,58
"5","20-01-11 4:00","1","0","1",1,10.66,12.88,56,11.0014,4,5,59
"6","20-01-11 5:00","1","0","1",1,9.84,11.365,60,15.0013,5,5,55
"7","20-01-11 6:00","1","0","1",1,9.02,10.605,60,15.0013,6,5,54
"8","20-01-11 7:00","1","0","1",1,9.02,10.605,55,15.0013,7,5,59
"9","20-01-11 8:00","1","0","1",1,9.02,10.605,55,19.0012,8,5,60
"10","20-01-11 9:00","1","0","1",2,9.84,11.365,52,15.0013,9,5,62
"11","20-01-11 10:00","1","0","1",1,10.66,11.365,48,19.9995,10,5,74
"12","20-01-11 11:00","1","0","1",2,11.48,13.635,45,11.0014,11,5,77
"13","20-01-11 12:00","1","0","1",2,12.3,16.665,42,0,12,5,86
"14","20-01-11 13:00","1","0","1",2,11.48,14.395,45,7.0015,13,5,82
"15","20-01-11 14:00","1","0","1",2,12.3,15.15,45,8.9981,14,5,86
"16","20-01-11 15:00","1","0","1",2,13.12,15.91,45,12.998,15,5,91
"17","20-01-11 16:00","1","0","1",2,12.3,15.15,49,8.9981,16,5,88
"18","20-01-11 17:00","1","0","1",2,12.3,15.91,49,7.0015,17,5,90
"19","20-01-11 18:00","1","0","1",2,10.66,12.88,56,12.998,18,5,80
"20","20-01-11 19:00","1","0","1",1,10.66,11.365,56,22.0028,19,5,86
"21","20-01-11 20:00","1","0","1",2,10.66,12.12,60,19.0012,20,5,80
"22","20-01-11 21:00","1","0","1",2,9.84,11.365,60,16.9979,21,5,79
"23","20-01-11 22:00","1","0","1",2,9.84,10.605,65,19.0012,22,5,78
"24","20-01-11 23:00","1","0","1",2,9.84,10.605,65,22.0028,23,5,79
"25","21-01-11 0:00","1","0","1",2,9.84,11.365,70,16.9979,0,6,34
"26","21-01-11 1:00","1","0","1",2,9.84,11.365,70,16.9979,1,6,35
"27","21-01-11 2:00","1","0","1",3,9.84,12.12,75,11.0014,2,6,30
"28","21-01-11 3:00","1","0","1",3,9.02,10.605,80,19.9995,3,6,24
"29","21-01-11 4:00","1","0","1",2,9.02,12.88,87,6.0032,4,6,30
"30","21-01-11 5:00","1","0","1",1,9.84,9.85,60,27.9993,5,6,52
"31","21-01-11 6:00","1","0","1",1,9.02,10.605,55,16.9979,6,6,56
"32","21-01-11 7:00","1","0","1",1,8.2,9.09,51,19.0012,7,6,57
"33","21-01-11 8:00","1","0","1",1,8.2,9.09,47,22.0028,8,6,61
"34","21-01-11 9:00","1","0","1",1,8.2,9.09,51,23.9994,9,6,60
"35","21-01-11 10:00","1","0","1",1,8.2,8.335,47,31.0009,10,6,63
"36","21-01-11 11:00","1","0","1",1,9.02,9.09,41,31.0009,11,6,72
"37","21-01-11 12:00","1","0","1",1,9.02,9.09,27,39.0007,12,6,80
"38","21-01-11 13:00","1","0","1",1,8.2,7.575,21,39.0007,13,6,83
"39","21-01-11 14:00","1","0","1",1,8.2,7.575,25,35.0008,14,6,83
"40","21-01-11 15:00","1","0","1",1,6.56,6.06,26,30.0026,15,6,79
"41","21-01-11 16:00","1","0","1",1,6.56,6.82,26,23.9994,16,6,82
"42","21-01-11 17:00","1","0","1",1,5.74,6.06,28,23.9994,17,6,80
"43","21-01-11 18:00","1","0","1",1,4.92,6.06,30,16.9979,18,6,78
"44","21-01-11 19:00","1","0","1",1,4.92,5.305,30,22.0028,19,6,79
"45","21-01-11 20:00","1","0","1",1,4.1,3.79,33,27.9993,20,6,75
"46","21-01-11 21:00","1","0","1",1,3.28,3.79,38,19.0012,21,6,73
"47","21-01-11 22:00","1","0","1",1,2.46,1.515,41,26.0027,22,6,68
"48","21-01-11 23:00","1","0","1",1,2.46,2.275,38,22.0028,23,6,73
"49","22-01-11 0:00","1","0","0",1,1.64,1.515,45,16.9979,0,7,-2
"50","22-01-11 1:00","1","0","0",2,1.64,0,41,26.0027,1,7,-5
"51","22-01-11 2:00","1","0","0",2,1.64,1.515,41,16.9979,2,7,-1
"52","22-01-11 3:00","1","0","0",2,1.64,1.515,41,19.0012,3,7,0
"53","22-01-11 4:00","1","0","0",2,0.82,0.76,48,19.9995,4,7,-5
"54","22-01-11 6:00","1","0","0",2,0.82,1.515,44,15.0013,6,7,2
"55","22-01-11 7:00","1","0","0",1,0.82,0.76,44,19.0012,7,7,8
"56","22-01-11 8:00","1","0","0",1,0.82,0,44,22.0028,8,7,10
"57","22-01-11 9:00","1","0","0",1,1.64,1.515,41,16.9979,9,7,17
"58","22-01-11 10:00","1","0","0",2,1.64,3.03,41,11.0014,10,7,15
"59","22-01-11 11:00","1","0","0",2,2.46,3.79,38,8.9981,11,7,22
"60","22-01-11 12:00","1","0","0",2,2.46,5.305,38,7.0015,12,7,25
"61","22-01-11 13:00","1","0","0",1,3.28,8.335,35,0,13,7,38
"62","22-01-11 14:00","1","0","0",1,4.1,6.82,33,7.0015,14,7,43
"63","22-01-11 15:00","1","0","0",1,4.92,7.575,28,0,15,7,53
"64","22-01-11 16:00","1","0","0",1,4.92,6.82,28,12.998,16,7,52
"65","22-01-11 17:00","1","0","0",1,4.92,9.85,28,0,17,7,57
"66","22-01-11 18:00","1","0","0",1,3.28,4.545,35,12.998,18,7,45
"67","22-01-11 19:00","1","0","0",1,3.28,5.305,35,8.9981,19,7,48
"68","22-01-11 20:00","1","0","0",1,2.46,3.79,45,11.0014,20,7,40
"69","22-01-11 21:00","1","0","0",1,2.46,5.305,41,6.0032,21,7,45
"70","22-01-11 22:00","1","0","0",1,2.46,7.575,49,0,22,7,44
"71","22-01-11 23:00","1","0","0",1,1.64,3.79,57,7.0015,23,7,36
"72","23-01-11 0:00","1","0","0",1,1.64,3.79,57,7.0015,0,1,-7
"73","23-01-11 1:00","1","0","0",1,1.64,3.79,57,7.0015,1,1,-5
"74","23-01-11 2:00","1","0","0",1,0.82,3.03,62,8.9981,2,1,-10
"75","23-01-11 3:00","1","0","0",1,0.82,3.03,62,8.9981,3,1,-8
"76","23-01-11 5:00","1","0","0",2,1.64,3.79,57,7.0015,5,1,-3
"77","23-01-11 6:00","1","0","0",2,1.64,3.79,57,7.0015,6,1,-1
"78","23-01-11 7:00","1","0","0",1,3.28,5.305,58,11.0014,7,1,11
"79","23-01-11 8:00","1","0","0",1,2.46,3.79,62,11.0014,8,1,7
"80","23-01-11 9:00","1","0","0",1,4.1,3.79,54,23.9994,9,1,18
"81","23-01-11 10:00","1","0","0",1,5.74,5.305,46,26.0027,10,1,30
"82","23-01-11 11:00","1","0","0",1,5.74,6.82,43,15.0013,11,1,36
"83","23-01-11 12:00","1","0","0",1,6.56,6.06,37,31.0009,12,1,42
"84","23-01-11 13:00","1","0","0",1,5.74,5.305,33,26.0027,13,1,44
