datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,hour,day
20-01-11 0:00,1,0,1,1,10.66,11.365,56,26.0027,0,5
20-01-11 1:00,1,0,1,1,10.66,13.635,56,0,1,5
20-01-11 2:00,1,0,1,1,10.66,13.635,56,0,2,5
20-01-11 3:00,1,0,1,1,10.66,12.88,56,11.0014,3,5
20-01-11 4:00,1,0,1,1,10.66,12.88,56,11.0014,4,5
20-01-11 5:00,1,0,1,1,9.84,11.365,60,15.0013,5,5
20-01-11 6:00,1,0,1,1,9.02,10.605,60,15.0013,6,5
20-01-11 7:00,1,0,1,1,9.02,10.605,55,15.0013,7,5
20-01-11 8:00,1,0,1,1,9.02,10.605,55,19.0012,8,5
20-01-11 9:00,1,0,1,2,9.84,11.365,52,15.0013,9,5
20-01-11 10:00,1,0,1,1,10.66,11.365,48,19.9995,10,5
20-01-11 11:00,1,0,1,2,11.48,13.635,45,11.0014,11,5
20-01-11 12:00,1,0,1,2,12.3,16.665,42,0,12,5
20-01-11 13:00,1,0,1,2,11.48,14.395,45,7.0015,13,5
20-01-11 14:00,1,0,1,2,12.3,15.15,45,8.9981,14,5
20-01-11 15:00,1,0,1,2,13.12,15.91,45,12.998,15,5
20-01-11 16:00,1,0,1,2,12.3,15.15,49,8.9981,16,5
20-01-11 17:00,1,0,1,2,12.3,15.91,49,7.0015,17,5
20-01-11 18:00,1,0,1,2,10.66,12.88,56,12.998,18,5
20-01-11 19:00,1,0,1,1,10.66,11.365,56,22.0028,19,5
20-01-11 20:00,1,0,1,2,10.66,12.12,60,19.0012,20,5
20-01-11 21:00,1,0,1,2,9.84,11.365,60,16.9979,21,5
20-01-11 22:00,1,0,1,2,9.84,10.605,65,19.0012,22,5
20-01-11 23:00,1,0,1,2,9.84,10.605,65,22.0028,23,5
21-01-11 0:00,1,0,1,2,9.84,11.365,70,16.9979,0,6
21-01-11 1:00,1,0,1,2,9.84,11.365,70,16.9979,1,6
21-01-11 2:00,1,0,1,3,9.84,12.12,75,11.0014,2,6
21-01-11 3:00,1,0,1,3,9.02,10.605,80,19.9995,3,6
21-01-11 4:00,1,0,1,2,9.02,12.88,87,6.0032,4,6
21-01-11 5:00,1,0,1,1,9.84,9.85,60,27.9993,5,6
21-01-11 6:00,1,0,1,1,9.02,10.605,55,16.9979,6,6
21-01-11 7:00,1,0,1,1,8.2,9.09,51,19.0012,7,6
21-01-11 8:00,1,0,1,1,8.2,9.09,47,22.0028,8,6
21-01-11 9:00,1,0,1,1,8.2,9.09,51,23.9994,9,6
21-01-11 10:00,1,0,1,1,8.2,8.335,47,31.0009,10,6
21-01-11 11:00,1,0,1,1,9.02,9.09,41,31.0009,11,6
21-01-11 12:00,1,0,1,1,9.02,9.09,27,39.0007,12,6
21-01-11 13:00,1,0,1,1,8.2,7.575,21,39.0007,13,6
21-01-11 14:00,1,0,1,1,8.2,7.575,25,35.0008,14,6
21-01-11 15:00,1,0,1,1,6.56,6.06,26,30.0026,15,6
21-01-11 16:00,1,0,1,1,6.56,6.82,26,23.9994,16,6
21-01-11 17:00,1,0,1,1,5.74,6.06,28,23.9994,17,6
21-01-11 18:00,1,0,1,1,4.92,6.06,30,16.9979,18,6
21-01-11 19:00,1,0,1,1,4.92,5.305,30,22.0028,19,6
21-01-11 20:00,1,0,1,1,4.1,3.79,33,27.9993,20,6
21-01-11 21:00,1,0,1,1,3.28,3.79,38,19.0012,21,6
21-01-11 22:00,1,0,1,1,2.46,1.515,41,26.0027,22,6
21-01-11 23:00,1,0,1,1,2.46,2.275,38,22.0028,23,6
22-01-11 0:00,1,0,0,1,1.64,1.515,45,16.9979,0,7
22-01-11 1:00,1,0,0,2,1.64,0,41,26.0027,1,7
22-01-11 2:00,1,0,0,2,1.64,1.515,41,16.9979,2,7
22-01-11 3:00,1,0,0,2,1.64,1.515,41,19.0012,3,7
22-01-11 4:00,1,0,0,2,0.82,0.76,48,19.9995,4,7
22-01-11 6:00,1,0,0,2,0.82,1.515,44,15.0013,6,7
22-01-11 7:00,1,0,0,1,0.82,0.76,44,19.0012,7,7
22-01-11 8:00,1,0,0,1,0.82,0,44,22.0028,8,7
22-01-11 9:00,1,0,0,1,1.64,1.515,41,16.9979,9,7
22-01-11 10:00,1,0,0,2,1.64,3.03,41,11.0014,10,7
22-01-11 11:00,1,0,0,2,2.46,3.79,38,8.9981,11,7
22-01-11 12:00,1,0,0,2,2.46,5.305,38,7.0015,12,7
22-01-11 13:00,1,0,0,1,3.28,8.335,35,0,13,7
22-01-11 14:00,1,0,0,1,4.1,6.82,33,7.0015,14,7
22-01-11 15:00,1,0,0,1,4.92,7.575,28,0,15,7
22-01-11 16:00,1,0,0,1,4.92,6.82,28,12.998,16,7
22-01-11 17:00,1,0,0,1,4.92,9.85,28,0,17,7
22-01-11 18:00,1,0,0,1,3.28,4.545,35,12.998,18,7
